text,Sentiment Score,Analysis
,,
"[afternoon, honoured, provide, convocation, address, dalgrad, treatyday, addresss, shared, w]",1,Positive
,,
"[great, pride, launched, 2018, indigenous, women, community, leadership, program, treatyday, uncede]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[afternoon, honoured, provide, convocation, address, dalgrad, treatyday, addresss, shared, w]",1,Positive
,,
"[treatyday, something, recognize, oct, 1st, treaty, something, must, acknowledged]",0,Neutral
,,
"[beautiful, mamabear, standing, along, shoreline, keji, lake, even, though, elsipogtog, fn, n, b]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[treatyday, something, recognize, oct, 1st, treaty, something, must, acknowledged]",0,Neutral
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[treatyday, something, recognize, oct, 1st, treaty, something, must, acknowledged]",0,Neutral
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[treatyday, something, recognize, oct, 1st, treaty, something, must, acknowled]",0,Neutral
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[mikmaq, history, month, lesson, 1, unceded, mi, kmaq, territory, metis, communities, lands, inc]",0,Neutral
,,
"[today, mi, kmaq, treaty, day, nova, scotia, celebrates, peace, friendship, treaties, signed, prevent, war]",0,Neutral
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[beautiful, mamabear, standing, along, shoreline, keji, lake, even, though, elsipogtog, fn, n, b]",1,Positive
,,
"[afternoon, honoured, provide, convocation, address, dalgrad, treatyday, addresss, shared, w]",1,Positive
,,
"[parade, square, treatyday, continues, simmonds]",0,Neutral
,,
"[25th, anniversary, mi, kmaq, history, month, amp, treaty, day, celebrations, halifax, 2018, nation, strong, chief, sy]",-1,Negative
,,
"[great, pride, launched, 2018, indigenous, women, community, leadership, program, treatyday, uncede]",1,Positive
,,
"[afternoon, honoured, provide, convocation, address, dalgrad, treatyday, addresss, shared, w]",1,Positive
,,
"[downie, wenjack, legacyroom, halifax, city, hall, still, development, formally, open, late]",-1,Negative
,,
"[today, mi, kmaq, treaty, day, nova, scotia, celebrates, peace, friendship, treaties, signed, prevent, war]",0,Neutral
,,
"[nova, scotia, teachers, union, recognizes, live, work, unceded, mi, kmaq, territory, privilege]",0,Neutral
,,
"[also, note, mikmaq, amp, need, treaty, always, done, always, lived, treaties]",2,Positive
,,
"[treatyday, also, means, ensuring, non, indigenous, ppl, keep, end, bargain, respect, th]",0,Neutral
,,
"[unceded, territory, mikmaq, nation, happy, treatyday]",1,Positive
,,
"[today, nova, scotians, celebrating, treatyday, recognize, connection, crown, mi, kmaq, mar]",0,Neutral
,,
"[treatyday, also, means, ensuring, non, indigenous, ppl, keep, end, bargain, respect, th]",0,Neutral
,,
"[parade, square, treatyday, continues, simmonds]",0,Neutral
,,
"[amazon, announcement, dramatically, improve, thousands, thousands, lives, thank, bernie, sanders, lead]",2,Positive
,,
"[need, union, side, teamsters, fightfor15]",1,Positive
,,
"[need, union, side, teamsters, fightfor15]",1,Positive
,,
"[need, union, side, teamsters, fightfor15]",1,Positive
,,
"[bailey, victory, solidarity, workers, unions, sides, atlantic, fightfor15, livingwage]",0,Neutral
,,
"[mcdonald, made, 5, 1, billion, profit, last, year, alone, spend, money, employees, wellbeing, join]",3,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[15, minimum, wage, needs, everyone, whole, family, farm, workers, tipped, workers, teens, like, https]",1,Positive
,,
"[kc, dozens, arrested, mcdonald, shut, back, time, mcdonald, listen, demands, 15, un]",0,Neutral
,,
"[one, way, win, working, class, together, fightfor15, unionsforall, http]",3,Positive
,,
"[one, way, win, working, class, together, fightfor15, unionsforall]",3,Positive
,,
"[fightfor15, great, slogan, embraced, across, us, various, sectors, workers, str]",1,Positive
,,
"[big, news, everyone, fighting, win, fightfor15, st, paul, watch, amp, press, conf]",2,Positive
,,
"[fifteen, aspire, negate, proof, undervalued, well, fightfor15]",1,Positive
,,
"[shouldnt, rely, welfare, live, work, full, time, fightfor15]",2,Positive
,,
"[used, support, 12, minimum, wage, realize, 15, right, way, go, fightfor15]",2,Positive
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[fyi, one, organizers, 2013, national, black, friday, walmart, actions, participated]",-1,Negative
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[goptaxscam, largest, transfer, wealth, working, class, mega, rich, corporations, modern, histo]",3,Positive
,,
"[need, union, side, teamsters, fightfor15]",1,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us, fightfor1]",2,Positive
,,
"[need, change, whole, system, november, voting, politicians, fighting, us]",2,Positive
,,
"[today, proud, join, workers, act, peaceful, civil, disobedience, fightfor15, time, worke]",1,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[time, ontario, workers, could, fired, sick, could, terminated, taking, last, minute, shift]",-1,Negative
,,
"[pretty, big, meeting, today, movement, whose, time, come, ff15, fightfor15, economicjustice]",4,Positive
,,
"[15, minimum, wage, needs, everyone, whole, family, farm, workers, tipped, workers, teens, like, https]",1,Positive
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[time, ontario, workers, could, fired, sick, could, terminated, taking, last, minute, shift]",-1,Negative
,,
"[striking, chicago, hotel, workers, getting, new, contracts, year, round, health, insurance, fightfor1]",3,Positive
,,
"[wages, magically, rise, raised, fightfor15, raisethewage]",1,Positive
,,
"[fact, fightfor15, unionsforall]",0,Neutral
,,
"[everyone, celebrating, drew, brees, amp, saints, victory, remember, dixie, beer, 11, workers, serving]",1,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[el, sayed, tlaib, speak, arrest, fight, 15, rally, fightfor15, unionsforall]",0,Neutral
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[mcdonald, made, 5, 1, billion, profit, last, year, alone, spend, money, employees, wellbeing, join]",3,Positive
,,
"[deserve, respect, need, unionsforall, fightfor15]",3,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[goptaxscam, largest, transfer, wealth, working, class, mega, rich, corporations, modern, histo]",3,Positive
,,
"[50, gop, lawmakers, got, average, 200, 000, tax, cuts, brand, new, loophole, wrote]",2,Positive
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[pretty, big, meeting, today, movement, whose, time, come, ff15, fightfor15, economicjustice]",4,Positive
,,
"[fact, fightfor15, unionsforall]",0,Neutral
,,
"[hours, left, voters, register, states, get, registered, get, ready, vote, politicians]",2,Positive
,,
"[goptaxscam, largest, transfer, wealth, working, class, mega, rich, corporations, modern, histo]",3,Positive
,,
"[fuck, stillwithher, literally, done, thing, since, defeat, orange, pompou]",1,Positive
,,
"[a4, members, congress, benefit, taxscam, well, itsapayoff, fightfor15]",1,Positive
,,
"[mcdonald, made, 5, 1, billion, profit, last, year, alone, spend, money, employees, wellbeing, join]",3,Positive
,,
"[end, spectrum, supporting, fightfor15, increases, minimum, wage, key, climate, change]",-1,Negative
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[fact, fightfor15, unionsforall]",0,Neutral
,,
"[berniesanders, jeffbezos, amazon, fightf]",0,Neutral
,,
"[wages, magically, rise, raised, fightfor15, raisethewage]",1,Positive
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[berniesanders, jeffbezos, amazon]",0,Neutral
,,
"[kc, 50, arrested, mcdonald, hq, chicago, week, protests, continues, fightfor15, https]",1,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[goptaxscam, largest, transfer, wealth, working, class, mega, rich, corporations, modern, histo]",3,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[agreed, nikki, haley, extremely, anti, worker, amp, anti, union, politician, remarked]",0,Neutral
,,
